All 2131 irreps of the N=5, p=3 Fock space (2^75 states)
maximal weight (12, 6, 0, -6, -12), C2max = 240

    #                 lambda              partition     C2      dim
  182     (9, 6, 3, -7, -11)     (20, 17, 14, 4, 0)    201 53,504,000
  183    (10, 6, 1, -6, -11)     (21, 17, 12, 5, 0)    201 102,410,000
  184    (11, 3, 3, -6, -11)     (22, 14, 14, 5, 0)    201 29,172,000
  185   (11, 6, -3, -3, -11)      (22, 17, 8, 8, 0)    201 29,172,000
  186   (11, 6, -1, -6, -10)      (21, 16, 9, 4, 0)    201 102,410,000
  187    (11, 7, -3, -6, -9)      (20, 16, 6, 3, 0)    201 53,504,000
  188     (8, 6, 4, -6, -12)     (20, 18, 16, 6, 0)    200 31,172,526
  189     (8, 8, 2, -8, -10)     (18, 18, 12, 2, 0)    200 14,194,026
  190      (9, 7, 2, -9, -9)     (18, 16, 11, 0, 0)    200 13,864,851
  191     (9, 8, 0, -7, -10)     (19, 18, 10, 3, 0)    200 41,186,376
  192    (9, 9, -3, -5, -10)      (19, 19, 7, 5, 0)    200 14,090,076
  193     (9, 9, -2, -7, -9)      (18, 18, 7, 2, 0)    200 13,864,851
  194    (10, 4, 3, -5, -12)     (22, 16, 15, 7, 0)    200 52,378,326
  195    (10, 4, 4, -8, -10)     (20, 14, 14, 2, 0)    200 14,554,176
  196     (10, 5, 3, -9, -9)     (19, 14, 12, 0, 0)    200 14,090,076
  197     (10, 7, 0, -8, -9)      (19, 16, 9, 1, 0)    200 41,186,376
  198   (10, 8, -4, -4, -10)      (20, 18, 6, 6, 0)    200 14,554,176
  199    (10, 8, -2, -8, -8)      (18, 16, 6, 0, 0)    200 14,194,026
  200    (11, 3, 2, -4, -12)     (23, 15, 14, 8, 0)    200 54,561,276
  201    (11, 5, 0, -5, -11)     (22, 16, 11, 6, 0)    200 116,588,199
  202    (12, 2, 0, -2, -12)    (24, 14, 12, 10, 0)    200 35,983,101
  203   (12, 4, -2, -3, -11)      (23, 15, 9, 8, 0)    200 54,561,276
  204   (12, 5, -3, -4, -10)      (22, 15, 7, 6, 0)    200 52,378,326
  205    (12, 6, -4, -6, -8)      (20, 14, 4, 2, 0)    200 31,172,526
